Media;Media Detailed;1970;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Newspapers;Newspapers;14026;10446;155808;190677;186947;240978;30438;358096;282897;200563;193519;203527;119629;9581;105783;76993;71174;48212;35467;3622;24143;19122;14067;1698;29444;50952;51652;31676;25538;8251;4913;1589;N/A;N/A;169;N/A;N/A;549;N/A;N/A;N/A
Magazines;Magazines;50018;131199;148032;173296;184236;257715;266208;291227;349229;388365;425912;395129;34016;317748;355055;380393;328143;27811;237061;235253;251644;248848;243046;23695;281296;377364;294916;172853;106852;156394;957;44777;50293;47203;25478;3668;46463;23254;27943;50609;49972
Outdoor;Outdoor;7338;84329;102689;120338;14901;162966;193333;228081;266925;295226;284927;300233;301822;269778;319293;358583;375627;386165;295657;231481;240024;273664;292261;295334;294721;53787;9262;8241;24192;32599;17135;9821;935;3041;2045;1812;1744;3100;2211;2269;2207
Transit;Transit;5354;10852;19341;2153;22899;21151;2616;21931;24135;26652;25817;33136;34725;35822;44379;52294;60249;60163;53293;39117;29323;22543;28865;26407;40158;5573;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Point-of-Sale;Point-of-Sale;11663;35317;44176;4622;57384;66096;79799;98968;116954;170059;167279;142921;135541;153494;222289;241809;303855;34458;366036;400943;34265;259035;252619;30536;290739;329429;347038;284319;260902;165573;163621;182193;242625;198861;163709;110311;106634;76613;67877;55684;238181
Promotional Allowances;Promotional Allowances;33789;72018;82523;108227;125148;137111;179094;229077;272269;366153;363247;548877;630036;70243;879703;999843;1021427;1156280;1514026;1557635;1678917;1865657;2150838;2438468;2878919;3542950;3913997;4452709;0;0;0;0;0;0;0;0;0;0;0;0;0
Sampling Distribution;Sampling Distribution;11775;24196;4039;47683;47376;64286;50459;81522;141178;125968;148031;140565;98866;5502;74511;57771;100893;5697;49315;40202;6974;13836;15945;22065;14436;33711;2233;17175;28777;17853;11649;17211;29431;48719;54261;23784;22166;4515;N/A;N/A;N/A
Specialty Item Distribution;Specialty Item Distribution;5652;10088;2003;35797;48281;62029;69248;115107;95246;127186;140431;211429;210128;391351;190003;262432;307037;184348;339997;75578;85081;665173;544345;512602;355835;33568;327826;333394;0;0;0;0;0;0;0;0;0;0;0;0;0
Public Entertainment;Public Entertainment;544;8484;7946;9538;1159;10783;16914;37423;63168;76648;59988;57581;71439;71389;88072;9212;125094;118622;89739;84276;81292;110669;171177;195203;248536;267379;30961;312366;0;0;0;0;0;0;0;0;0;0;0;0;0
Direct Mail;Direct Mail;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;187057;187931;42545;45498;51875;65002;34345;31463;31187;34618;38703;3731;57772;9461;92902;133947;111319;92978;93836;51844;102353;81929;8992;68891;56482;51491;45582;38294;46193
Endorsements & Testimonials;Endorsements & Testimonials;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;384;376;781;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N/A;0;0
Coupons & Retail-Value-Added;Coupons & Retail-Value-Added;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;874127;959965;1183798;1882905;2175373;2559387;1248896;1348378;1308708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coupons & Retail-Value-Added;Coupons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55255;624199;531004;705299;60211;522246;650653;751761;870137;625777;366779;359793;371028;235802;171222;239618;248833;521035
Coupons & Retail-Value-Added;Retail-Value-Added;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;970363;1555391;2559883;3453446;4761792;0;0;0;0;0;0;0;0;0;0;0;0;0
Internet;Internet;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;432;215;125;651;949;841;0;0;0;0;0;0;0;0;0;0;0;0;0
Price Discounts;Price Discounts;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;7873835;10808239;10932199;9776069;9205106;7699362;7171092;6672428;6490832;6996942;7802044;7642441;0
Promotional Allowances;Promotional Allowances _ Retailers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1333097;1229327;542213;43583;434239;454139;4815;428675;369992;356991;35129;291334;260254
Promotional Allowances;Promotional Allowances _ Wholesalers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;446327;683067;387758;410363;471204;479032;448461;449006;41037;401006;391146;397182;363300
Promotional Allowances;Promotional Allowances _  Other;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2767;2786;1323;1493;N/A;N/A;1245;965;210;N/A;N/A;548;632
Specialty Item Distribution;Specialty Item Distribution _ Branded;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49423;9195;8011;5255;5546;807;7188;7472;6322;5607;1683;2974;1486
Specialty Item Distribution;Specialty Item Distribution - Non-Branded;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;174201;254956;216577;225279;163761;160047;93798;74956;65574;44394;25226;29504;37747
Public Entertainment;Public Entertainment _ Adult-Only;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;219016;150889;140137;214075;168098;160104;154749;134328;138889;129822;113581;104647;104898
Public Entertainment;Public Entertainment _ General-Audience;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34089;32849;115;152;N/A;N/A;N/A;N/A;N/A;0;N/A;0;0
Sponsorships;Sponsorships;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;54247;31371;28231;30575;N/A;N/A;N/A;N/A;0;0;0;0;0
Coupons & Retail-Value-Added;Retail-Value-Added _ Bonus Cigarettes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1060304;677308;636221;72501;817792;981566;721818;11736;N/A;0;0;0;0
Coupons & Retail-Value-Added;Retail-Value-Added _ Non-Cigarette Bonus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24727;20535;14343;7526;14642;1772;10983;N/A;0;0;0;0;0
Internet;Company Website;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;940;2851;1401;2675;6497;2351;13172;183;20829;21898;21403;15402;16632
Internet;Internet _ Other;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N/A;N/A;N/A;N/A;N/A;1309;N/A;N/A
Telephone;Telephone;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;679;760;346;59;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;65
Price Discounts;Price Discounts - Retailers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5562788
Price Discounts;Price Discounts - Wholesalers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1201301
Audio-Visual;Audio-Visual;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N/A;0;0
Social Media;Social Media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Other;Other;220841;10311;18182;26157;421;6031;56694;86226;181813;123951;286035;443043;25257;299355;78366;8929;62917;68758;41608;6368;47672;3368;46696;50207;61584;54658;63395;104797;112879;117563;102369;99025;151392;155843;143688;122002;73291;78220;93182;68489;82542
Total;Total;361;491254;639117;779463;874971;1083425;1242289;1547658;1793814;1900771;2095231;2476441;2382357;2580504;3274853;3616993;3992008;4650114;5231917;6035437;4833532;4895223;5107700;5660014;6733157;8237631;9592627;11216220;12466358;15145998;14149859;13110958;12489692;10864767;9943068;8531375;8045602;8365624;9167824;8948210;8489234