Year,LocationAbbr,LocationDesc,DataSource,TopicType,TopicDesc,MeasureDesc,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Gender,GeoLocation,TopicTypeID,TopicID,MeasureID,SubMeasureID,DisplayOrder
2005-2009,AL,Alabama,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,25830,,,Overall,"AL
(32.84057112200048, -86.63186076199969)",HLT,500HLT,500SAM,1GEN,01
2005-2009,AK,Alaska,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,1585,,,Overall,"AK
(64.84507995700051, -147.72205903599973)",HLT,500HLT,500SAM,1GEN,01
2005-2009,AZ,Arizona,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,23342,,,Overall,"AZ
(34.865970280000454, -111.76381127699972)",HLT,500HLT,500SAM,1GEN,01
2005-2009,AR,Arkansas,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,16344,,,Overall,"AR
(34.74865012400045, -92.27449074299966)",HLT,500HLT,500SAM,1GEN,01
2005-2009,CA,California,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,132974,,,Overall,"CA
(37.63864012300047, -120.99999953799971)",HLT,500HLT,500SAM,1GEN,01
2005-2009,CO,Colorado,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,14958,,,Overall,"CO
(38.843840757000464, -106.13361092099967)",HLT,500HLT,500SAM,1GEN,01
2005-2009,CT,Connecticut,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,15804,,,Overall,"CT
(41.56266102000046, -72.64984095199964)",HLT,500HLT,500SAM,1GEN,01
2005-2009,DE,Delaware,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,4082,,,Overall,"DE
(39.008830667000495, -75.57774116799965)",HLT,500HLT,500SAM,1GEN,01
2005-2009,DC,District of Columbia,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,2536,,,Overall,"DC
(38.89037138500049, -77.03196112699965)",HLT,500HLT,500SAM,1GEN,01
2005-2009,FL,Florida,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,92978,,,Overall,"FL
(28.932040377000476, -81.92896053899966)",HLT,500HLT,500SAM,1GEN,01
2005-2009,GA,Georgia,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,34530,,,Overall,"GA
(32.83968109300048, -83.62758034599966)",HLT,500HLT,500SAM,1GEN,01
2005-2009,HI,Hawaii,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,5118,,,Overall,"HI
(21.304850435000446, -157.85774940299973)",HLT,500HLT,500SAM,1GEN,01
2005-2009,ID,Idaho,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,5650,,,Overall,"ID
(43.682630005000476, -114.3637300419997)",HLT,500HLT,500SAM,1GEN,01
2005-2009,IL,Illinois,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,56421,,,Overall,"IL
(40.48501028300046, -88.99771017799969)",HLT,500HLT,500SAM,1GEN,01
2005-2009,IN,Indiana,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,31425,,,Overall,"IN
(39.766910452000445, -86.14996019399968)",HLT,500HLT,500SAM,1GEN,01
2005-2009,IA,Iowa,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,15998,,,Overall,"IA
(42.46940091300047, -93.81649055599968)",HLT,500HLT,500SAM,1GEN,01
2005-2009,KS,Kansas,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,13619,,,Overall,"KS
(38.34774030000045, -98.20078122699965)",HLT,500HLT,500SAM,1GEN,01
2005-2009,KY,Kentucky,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,23149,,,Overall,"KY
(37.645970271000465, -84.77497104799966)",HLT,500HLT,500SAM,1GEN,01
2005-2009,LA,Louisiana,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,21575,,,Overall,"LA
(31.31266064400046, -92.44568007099969)",HLT,500HLT,500SAM,1GEN,01
2005-2009,ME,Maine,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,6856,,,Overall,"ME
(45.254228894000505, -68.98503133599962)",HLT,500HLT,500SAM,1GEN,01
2005-2009,MD,Maryland,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,23467,,,Overall,"MD
(39.29058096400047, -76.60926011099963)",HLT,500HLT,500SAM,1GEN,01
2005-2009,MA,Massachusetts,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,28812,,,Overall,"MA
(42.27687047000046, -72.08269067499964)",HLT,500HLT,500SAM,1GEN,01
2005-2009,MI,Michigan,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,49756,,,Overall,"MI
(44.6613195430005, -84.71439026999968)",HLT,500HLT,500SAM,1GEN,01
2005-2009,MN,Minnesota,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,18796,,,Overall,"MN
(46.35564873600049, -94.79420050299967)",HLT,500HLT,500SAM,1GEN,01
2005-2009,MS,Mississippi,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,15544,,,Overall,"MS
(32.745510099000455, -89.53803082499968)",HLT,500HLT,500SAM,1GEN,01
2005-2009,MO,Missouri,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,31414,,,Overall,"MO
(38.635790776000476, -92.56630005299968)",HLT,500HLT,500SAM,1GEN,01
2005-2009,MT,Montana,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,4523,,,Overall,"MT
(47.06652897200047, -109.42442064499971)",HLT,500HLT,500SAM,1GEN,01
2005-2009,NE,Nebraska,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,8098,,,Overall,"NE
(41.6410409880005, -99.36572062299967)",HLT,500HLT,500SAM,1GEN,01
2005-2009,NV,Nevada,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,10121,,,Overall,"NV
(39.493240390000494, -117.07184056399967)",HLT,500HLT,500SAM,1GEN,01
2005-2009,NH,New Hampshire,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,5601,,,Overall,"NH
(43.65595011300047, -71.50036091999965)",HLT,500HLT,500SAM,1GEN,01
2005-2009,NJ,New Jersey,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,39091,,,Overall,"NJ
(40.13057004800049, -74.27369128799967)",HLT,500HLT,500SAM,1GEN,01
2005-2009,NM,New Mexico,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,7690,,,Overall,"NM
(34.52088095200048, -106.24058098499967)",HLT,500HLT,500SAM,1GEN,01
2005-2009,NY,New York,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,90374,,,Overall,"NY
(42.82700103200045, -75.54397042699964)",HLT,500HLT,500SAM,1GEN,01
2005-2009,NC,North Carolina,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,40359,,,Overall,"NC
(35.466220975000454, -79.15925046299964)",HLT,500HLT,500SAM,1GEN,01
2005-2009,ND,North Dakota,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,3217,,,Overall,"ND
(47.47531977900047, -100.11842104899966)",HLT,500HLT,500SAM,1GEN,01
2005-2009,OH,Ohio,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,59710,,,Overall,"OH
(40.06021014100048, -82.40426005599966)",HLT,500HLT,500SAM,1GEN,01
2005-2009,OK,Oklahoma,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,20782,,,Overall,"OK
(35.47203135600046, -97.52107021399968)",HLT,500HLT,500SAM,1GEN,01
2005-2009,OR,Oregon,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,16380,,,Overall,"OR
(44.56744942400047, -120.15503132599969)",HLT,500HLT,500SAM,1GEN,01
2005-2009,PA,Pennsylvania,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,70411,,,Overall,"PA
(40.79373015200048, -77.86070029399963)",HLT,500HLT,500SAM,1GEN,01
2005-2009,RI,Rhode Island,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,5484,,,Overall,"RI
(41.70828019300046, -71.52247031399963)",HLT,500HLT,500SAM,1GEN,01
2005-2009,SC,South Carolina,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,20722,,,Overall,"SC
(33.998821303000454, -81.04537120699968)",HLT,500HLT,500SAM,1GEN,01
2005-2009,SD,South Dakota,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,3954,,,Overall,"SD
(44.353130053000484, -100.3735306369997)",HLT,500HLT,500SAM,1GEN,01
2005-2009,TN,Tennessee,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,32019,,,Overall,"TN
(35.68094058000048, -85.77449091399967)",HLT,500HLT,500SAM,1GEN,01
2005-2009,TX,Texas,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,84996,,,Overall,"TX
(31.827240407000488, -99.42677020599967)",HLT,500HLT,500SAM,1GEN,01
2005-2009,UT,Utah,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,6248,,,Overall,"UT
(39.360700171000474, -111.58713063499971)",HLT,500HLT,500SAM,1GEN,01
2005-2009,VT,Vermont,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,2794,,,Overall,"VT
(43.62538123900049, -72.51764079099962)",HLT,500HLT,500SAM,1GEN,01
2005-2009,VA,Virginia,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,31061,,,Overall,"VA
(37.54268067400045, -78.45789046299967)",HLT,500HLT,500SAM,1GEN,01
2005-2009,WA,Washington,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,25112,,,Overall,"WA
(47.52227862900048, -120.47001078999972)",HLT,500HLT,500SAM,1GEN,01
2005-2009,WV,West Virginia,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,11901,,,Overall,"WV
(38.66551020200046, -80.71264013499967)",HLT,500HLT,500SAM,1GEN,01
2005-2009,WI,Wisconsin,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,25027,,,Overall,"WI
(44.39319117400049, -89.81637074199966)",HLT,500HLT,500SAM,1GEN,01
2005-2009,WY,Wyoming,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,2272,,,Overall,"WY
(43.23554134300048, -108.10983035299967)",HLT,500HLT,500SAM,1GEN,01
2005-2009,US,United States,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,1340503,,,Overall,"US
(39.8333, 98.5833)",HLT,500HLT,500SAM,1GEN,01
2005-2009,AL,Alabama,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,13145,,,Male,"AL
(32.84057112200048, -86.63186076199969)",HLT,500HLT,500SAM,2GEN,02
2005-2009,AK,Alaska,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,905,,,Male,"AK
(64.84507995700051, -147.72205903599973)",HLT,500HLT,500SAM,2GEN,02
2005-2009,AZ,Arizona,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,12406,,,Male,"AZ
(34.865970280000454, -111.76381127699972)",HLT,500HLT,500SAM,2GEN,02
2005-2009,AR,Arkansas,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,8405,,,Male,"AR
(34.74865012400045, -92.27449074299966)",HLT,500HLT,500SAM,2GEN,02
2005-2009,CA,California,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,67192,,,Male,"CA
(37.63864012300047, -120.99999953799971)",HLT,500HLT,500SAM,2GEN,02
2005-2009,CO,Colorado,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,7605,,,Male,"CO
(38.843840757000464, -106.13361092099967)",HLT,500HLT,500SAM,2GEN,02
2005-2009,CT,Connecticut,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,7532,,,Male,"CT
(41.56266102000046, -72.64984095199964)",HLT,500HLT,500SAM,2GEN,02
2005-2009,DE,Delaware,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,2063,,,Male,"DE
(39.008830667000495, -75.57774116799965)",HLT,500HLT,500SAM,2GEN,02
2005-2009,DC,District of Columbia,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,1263,,,Male,"DC
(38.89037138500049, -77.03196112699965)",HLT,500HLT,500SAM,2GEN,02
2005-2009,FL,Florida,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,49030,,,Male,"FL
(28.932040377000476, -81.92896053899966)",HLT,500HLT,500SAM,2GEN,02
2005-2009,GA,Georgia,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,17660,,,Male,"GA
(32.83968109300048, -83.62758034599966)",HLT,500HLT,500SAM,2GEN,02
2005-2009,HI,Hawaii,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,2899,,,Male,"HI
(21.304850435000446, -157.85774940299973)",HLT,500HLT,500SAM,2GEN,02
2005-2009,ID,Idaho,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,2962,,,Male,"ID
(43.682630005000476, -114.3637300419997)",HLT,500HLT,500SAM,2GEN,02
2005-2009,IL,Illinois,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,27788,,,Male,"IL
(40.48501028300046, -88.99771017799969)",HLT,500HLT,500SAM,2GEN,02
2005-2009,IN,Indiana,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,15793,,,Male,"IN
(39.766910452000445, -86.14996019399968)",HLT,500HLT,500SAM,2GEN,02
2005-2009,IA,Iowa,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,7938,,,Male,"IA
(42.46940091300047, -93.81649055599968)",HLT,500HLT,500SAM,2GEN,02
2005-2009,KS,Kansas,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,6740,,,Male,"KS
(38.34774030000045, -98.20078122699965)",HLT,500HLT,500SAM,2GEN,02
2005-2009,KY,Kentucky,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,11753,,,Male,"KY
(37.645970271000465, -84.77497104799966)",HLT,500HLT,500SAM,2GEN,02
2005-2009,LA,Louisiana,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,11080,,,Male,"LA
(31.31266064400046, -92.44568007099969)",HLT,500HLT,500SAM,2GEN,02
2005-2009,ME,Maine,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,3492,,,Male,"ME
(45.254228894000505, -68.98503133599962)",HLT,500HLT,500SAM,2GEN,02
2005-2009,MD,Maryland,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,11509,,,Male,"MD
(39.29058096400047, -76.60926011099963)",HLT,500HLT,500SAM,2GEN,02
2005-2009,MA,Massachusetts,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,13819,,,Male,"MA
(42.27687047000046, -72.08269067499964)",HLT,500HLT,500SAM,2GEN,02
2005-2009,MI,Michigan,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,24940,,,Male,"MI
(44.6613195430005, -84.71439026999968)",HLT,500HLT,500SAM,2GEN,02
2005-2009,MN,Minnesota,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,9552,,,Male,"MN
(46.35564873600049, -94.79420050299967)",HLT,500HLT,500SAM,2GEN,02
2005-2009,MS,Mississippi,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,7987,,,Male,"MS
(32.745510099000455, -89.53803082499968)",HLT,500HLT,500SAM,2GEN,02
2005-2009,MO,Missouri,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,15649,,,Male,"MO
(38.635790776000476, -92.56630005299968)",HLT,500HLT,500SAM,2GEN,02
2005-2009,MT,Montana,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,2353,,,Male,"MT
(47.06652897200047, -109.42442064499971)",HLT,500HLT,500SAM,2GEN,02
2005-2009,NE,Nebraska,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,4025,,,Male,"NE
(41.6410409880005, -99.36572062299967)",HLT,500HLT,500SAM,2GEN,02
2005-2009,NV,Nevada,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,5580,,,Male,"NV
(39.493240390000494, -117.07184056399967)",HLT,500HLT,500SAM,2GEN,02
2005-2009,NH,New Hampshire,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,2826,,,Male,"NH
(43.65595011300047, -71.50036091999965)",HLT,500HLT,500SAM,2GEN,02
2005-2009,NJ,New Jersey,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,18921,,,Male,"NJ
(40.13057004800049, -74.27369128799967)",HLT,500HLT,500SAM,2GEN,02
2005-2009,NM,New Mexico,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,3995,,,Male,"NM
(34.52088095200048, -106.24058098499967)",HLT,500HLT,500SAM,2GEN,02
2005-2009,NY,New York,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,43060,,,Male,"NY
(42.82700103200045, -75.54397042699964)",HLT,500HLT,500SAM,2GEN,02
2005-2009,NC,North Carolina,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,20569,,,Male,"NC
(35.466220975000454, -79.15925046299964)",HLT,500HLT,500SAM,2GEN,02
2005-2009,ND,North Dakota,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,1677,,,Male,"ND
(47.47531977900047, -100.11842104899966)",HLT,500HLT,500SAM,2GEN,02
2005-2009,OH,Ohio,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,29854,,,Male,"OH
(40.06021014100048, -82.40426005599966)",HLT,500HLT,500SAM,2GEN,02
2005-2009,OK,Oklahoma,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,10546,,,Male,"OK
(35.47203135600046, -97.52107021399968)",HLT,500HLT,500SAM,2GEN,02
2005-2009,OR,Oregon,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,8423,,,Male,"OR
(44.56744942400047, -120.15503132599969)",HLT,500HLT,500SAM,2GEN,02
2005-2009,PA,Pennsylvania,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,34484,,,Male,"PA
(40.79373015200048, -77.86070029399963)",HLT,500HLT,500SAM,2GEN,02
2005-2009,RI,Rhode Island,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,2592,,,Male,"RI
(41.70828019300046, -71.52247031399963)",HLT,500HLT,500SAM,2GEN,02
2005-2009,SC,South Carolina,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,10957,,,Male,"SC
(33.998821303000454, -81.04537120699968)",HLT,500HLT,500SAM,2GEN,02
2005-2009,SD,South Dakota,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,2060,,,Male,"SD
(44.353130053000484, -100.3735306369997)",HLT,500HLT,500SAM,2GEN,02
2005-2009,TN,Tennessee,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,16355,,,Male,"TN
(35.68094058000048, -85.77449091399967)",HLT,500HLT,500SAM,2GEN,02
2005-2009,TX,Texas,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,43898,,,Male,"TX
(31.827240407000488, -99.42677020599967)",HLT,500HLT,500SAM,2GEN,02
2005-2009,UT,Utah,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,3243,,,Male,"UT
(39.360700171000474, -111.58713063499971)",HLT,500HLT,500SAM,2GEN,02
2005-2009,VT,Vermont,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,1403,,,Male,"VT
(43.62538123900049, -72.51764079099962)",HLT,500HLT,500SAM,2GEN,02
2005-2009,VA,Virginia,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,15689,,,Male,"VA
(37.54268067400045, -78.45789046299967)",HLT,500HLT,500SAM,2GEN,02
2005-2009,WA,Washington,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,12793,,,Male,"WA
(47.52227862900048, -120.47001078999972)",HLT,500HLT,500SAM,2GEN,02
2005-2009,WV,West Virginia,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,5979,,,Male,"WV
(38.66551020200046, -80.71264013499967)",HLT,500HLT,500SAM,2GEN,02
2005-2009,WI,Wisconsin,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,12663,,,Male,"WI
(44.39319117400049, -89.81637074199966)",HLT,500HLT,500SAM,2GEN,02
